46372845779:081510440104867;183053991
10120697544;183053936
10352992563;183054160
10141217983;183054151
10246737570;183054175
10332686905;183054518
10030743065;183055426
10246797939;183052497
10030711294;183052501
10246797392;183052541
64478177724:2152850476;183052436
42875977664;183052436
64491687311:2154201435;183052887
64493645747:WAF2I191612013;183052761
64493645739:WAF2I191612012;183052731
10332636157;183053324
10164262932;183053294
41084467772;183053323
64493645341:WAF2I191611988;183053362
64493645333:WAF2I191611987;183053030
64493645168:WAF2I191611986;183053179
64493644807:WAF2I191611966;183053492
10262248445;183053498
64493643775:WAF2I191611853;183053632
64493644179:WAF2I191611936;183053914
64493644252:WAF2I191611875;183053937
64486541853:2153686889;183053993
69963355172:091509380004481;183052768
10353096703;183053223
41349937064;183054751
64486540095:2153686713;183052614
64493645382:WAF2I191611992;183052735
64493645374:WAF2I191611991;183052782
218A003011467;183056526
216A275018709;183012484
QXAQ1FB521833;183005776
QXAQ1FB521639;183006281
10246790397;181504697
10353096703;183053223
69963355172:091509380004481;183052768
